strongs	greek	count	brief	long
1107	ἐγνωρίσθη	3	मुझे पता करना है, घोषित, जानते	मुझे पता करना है, की घोषणा, पता, पता चलता है।
1411	δυνάμεως	3	हो सकता है, बिजली, अद्भुत काम करता है	(क) शारीरिक शक्ति, बल, पराक्रम, क्षमता, क्षमता, ऊर्जा, अर्थ (ख) Plur: शक्तिशाली कर्म, कर्मों दिखा (शारीरिक) बिजली, अद्भुत काम करता है।
3466	μυστήριον,	3	कुछ भी छिपा हुआ है, एक रहस्य	एक रहस्य, रहस्य, जिनमें से दीक्षा आवश्यक है; NT में: भगवान की सलाह, एक बार छिपा हुआ है, लेकिन अब इंजील या उसके कुछ वास्तव में पता चला; आम तौर पर ईसाई रहस्योद्घाटन; विशेष रूप से सत्य या ईसाई रहस्योद्घाटन का विवरण।
1391	δόξα	3	सम्मान, यश, वैभव महिमा	सम्मान, यश; महिमा, एक विशेष रूप से दिव्य गुणवत्ता, भगवान के वहां अभिव्यक्ति, वैभव।
5485	χάριτος	3	दया, एहसान, दया	(क) अनुग्रह, एक उपहार या आशीर्वाद यीशु मसीह के द्वारा आदमी के लिए लाया, (ख) एहसान, (ग) आभार, धन्यवाद, (घ) एक एहसान, दया के रूप में।
1484	ἐθνῶν—	3	एक दौड़, लोगों, अन्यजातियों	एक दौड़, लोगों, देश; जातियों, बुतपरस्त दुनिया, अन्यजातियों।
5228	ὑπὲρ	3	ऊपर से, निमित्त	GEN: की ओर से; एसीसी: ऊपर।
40	ἁγίοις	3	सेट के अलावा, पवित्र, पवित्र	द्वारा (या के लिए) भगवान, पवित्र, पवित्र लिया जा सकता।
1410	δύνασθε	2	मैं शक्तिशाली हूँ, सक्षम हूँ	(क) मैं शक्तिशाली हूँ, है () बिजली, (ख) मैं, मैं कर सकता हूँ में सक्षम हूँ।
444	ἀνθρώπων	2	एक आदमी, मानव जाति में से एक	एक आदमी, मानव जाति में से एक।
1074	γενεαῖς	2	एक पीढ़ी	एक पीढ़ी; यदि दो बार या एक और समय के शब्द के साथ दोहराया, व्यावहारिक रूप से समय के अनंत इंगित करता है।
1537	ἐξ	2	बाहर से, बाहर से बीच से	बाहर से, बाहर, बीच में से, से आंतरिक बाहर की तरफ से संकेत मिलता है।
4151	Πνεύματι,	2	हवा, सांस, भावना	हवा, सांस, भावना।
1510	εἶναι	2	मैं हूँ, मौजूद	मैं हूँ, मौजूद हैं।
3539	νοῆσαι	2	मैं समझता हूँ, पर विचार	मैं समझता हूँ, लगता है, पर विचार गर्भ धारण, गिरफ्तार; ए ओ आर। संभवतः: एहसास।
3568	νῦν	2	अब, पहले से ही, वर्तमान में	Adv। (क) समय की: अब बस, अब भी; सिर्फ हाथ पर, तुरंत, (ख) तार्किक कनेक्शन की: तो अब, आदेशों और अपील में (ग): इस पल में।
26	ἀγάπῃ	2	इश्क	प्रेम, परोपकार, अच्छा होगा, सम्मान; Plur: प्रेम-दावतें।
4314	πρὸς	2	, के लिए की ओर से	करने के लिए, की ओर से।
4149	πλοῦτος	2	धन सम्पत्ति	धन, धन, बहुतायत, भौतिक या आध्यात्मिक।
5101	τίς	2	जो है, जो, क्या	जो है, जो, क्या, क्यों।
154	αἰτοῦμαι	2	मैं पूछता हूँ, अनुरोध, बेग, याचिका	मैं पूछता हूँ, अनुरोध, याचिका, मांग।
3622	οἰκονομίαν	2	परिचारक का पद	घरेलू मामलों, प्रबंधन, प्रशासन के प्रबंधन।
4102	πίστεως	2	आस्था, विश्वास, भरोसा	आस्था, विश्वास, विश्वास, विश्वास, निष्ठा, सच्चाई।
5484	χάριν	2	की वजह से	की खातिर, के कारण, के कारण के लिए।
1577	ἐκκλησίας	2	एक विधानसभा, मण्डली, चर्च	एक विधानसभा, मण्डली, चर्च; चर्च, ईसाई विश्वासियों के पूरे शरीर।
4160	ἐποίησεν	2	मैं, बनाना	(क) मैं बनाने, निर्माण, निर्माण, (ख) मुझे क्या करना है, कार्य, कारण।
1119	γόνατά	1	एक घुटने	घुटना।
2962	Κυρίῳ	1	हे प्रभु, हे प्रभु, गुरु, सर	हे प्रभु, गुरु, सर, ईश्वर।
3954	παρρησίαν	1	स्वतंत्रता, आत्मविश्वास	स्वतंत्रता, खुलापन, विशेष रूप से भाषण में; साहस, आत्मविश्वास।
4286	πρόθεσιν	1	शो-रोटी, predetermination	एक आगे, शो-रोटी की स्थापना; predetermination, उद्देश्य।
4678	σοφία	1	बुद्धिमत्ता	ज्ञान, अंतर्दृष्टि, कौशल (मानव या परमात्मा), खुफिया।
4182	πολυποίκιλος	1	ज्यादा विविध, कई गुना	ज्यादा विविध, कई गुना।
4318	προσαγωγὴν	1	दृष्टिकोण, का उपयोग	दृष्टिकोण का उपयोग, प्रवेश।
2032	ἐπουρανίοις	1	स्वर्गीय, आकाशीय	स्वर्गीय, दिव्य, स्वर्गीय क्षेत्र में, आध्यात्मिक गतिविधियों के क्षेत्र; मुलाकात: दिव्य आध्यात्मिक।
1849	ἐξουσίαις	1	शक्ति, अधिकार, वजन	(क) शक्ति, अधिकार, वजन, विशेष रूप से: नैतिक अधिकार, प्रभाव, (ख) एक अर्ध-व्यक्तिगत अर्थ में, बाद में यहूदी धर्म से, एक आध्यात्मिक शक्ति का एक सांसारिक बिजली की ली गई है, और इसलिए।
746	ἀρχαῖς	1	शासक, शुरुआत	(क) नियम (आलीशान या मजिस्ट्रेट), (ख) Plur: एक अर्ध-व्यक्तिगत अर्थ में, लगभग: शासकों, मजिस्ट्रेट, (ग) शुरुआत।
4006	πεποιθήσει	1	आत्मविश्वास, विश्वास	आत्मविश्वास, विश्वास, रिलायंस।
2936	κτίσαντι,	1	मैं फार्म बनाने के लिए, आकार, बनाना	मैं बनाने के लिए, रूप, आकार, भगवान की हमेशा करते हैं।
1352	διὸ	1	किस कारण	क्या कारण है, जिस पर इसलिए खाते।
575	ἀπὸ	1	से दूर, से	से दूर है, से।
613	ἀποκεκρυμμένου	1	मैं दूर छिपा है, छिपाना	मैं दूर छिपा है, छिपाना, गुप्त रखने के लिए।
3361	μὴ	1	नहीं, ऐसा न हो	नहीं, ऐसा न हो।
5461	φωτίσαι	1	मैं रोशन, प्रकाश में लाना	(क) मैं प्रकाश, उजागर, (ख) मैं प्रकाश में लाने के लिए, स्पष्ट करना, प्रकट करते हैं।
1573	ἐνκακεῖν	1	मैं बेहोश हूँ, थके हुए हूँ	मैं बेहोश हूँ, थके हुए हूँ।
421	ἀνεξιχνίαστον	1	समझ से बाहर	कि पता लगाया जा सकता है, समझ से बाहर है।
2097	εὐαγγελίσασθαι	1	मैं अच्छी खबर लाने के लिए, अच्छी ख़बर प्रचार	मैं अच्छी खबर लाने के लिए, उपदेश अच्छी ख़बर है, के साथ या एक वस्तु के बिना, व्यक्त या तो लोगों को, जो अच्छी खबर है या अच्छी खबर यह है ही (अच्छी खबर यह कभी कभी एक व्यक्ति के रूप में व्यक्त किया जा रहा) प्राप्त करते हैं।
2347	θλίψεσίν	1	उत्पीड़न, दु: ख, संकट	उत्पीड़न, दु: ख, संकट, क्लेश।
1647	ἐλαχιστοτέρῳ	1	छोटी से छोटी, कम से कम महत्वपूर्ण	छोटी से छोटी, कम से कम महत्वपूर्ण है।
3748	ἥτις	1	जो कोई भी, जो भी whichsoever,	जो कोई भी, whichsoever, जो भी।
1753	ἐνέργειαν	1	काम, गतिविधि	काम, कार्रवाई, उत्पादक कार्य, गतिविधि; NT में, अलौकिक गतिविधि के लिए ही सीमित है।
1431	δωρεὰν	1	एक मुफ्त उपहार	एक (मुक्त) उपहार, उपहार (पुनर्भुगतान के बिना)।
1249	διάκονος	1	एक वेटर, नौकर, व्यवस्थापक	एक वेटर, नौकर; तो किसी भी एक है जो किसी भी सेवा, एक प्रशासक के प्रदर्शन के।
1096	ἐγενήθην	1	मैं अस्तित्व में आया, पैदा हुआ हूँ	मैं अस्तित्व में आया, पैदा हुआ हूँ, बनने के बारे में आते हैं, होता है।
2098	εὐαγγελίου,	1	अच्छी खबर यह सुसमाचार	मसीहा, सुसमाचार के आने की अच्छी खबर यह है; जनरल। यह कभी कभी दाता (भगवान), कभी कभी विषय (मसीहा, आदि), कभी कभी मानव ट्रांसमीटर (प्रेरित) को व्यक्त करने के बाद।
2578	κάμπτω	1	मैं मोड़, धनुष	मैं मोड़, धनुष।
1860	ἐπαγγελίας	1	एक वादा	एक वादा।
4830	συνμέτοχα	1	संयुक्त रूप से भाग लेना	संयुक्त रूप से भाग लेना।
4954	σύνσωμα	1	एक ही शरीर से संबंधित	एक ही शरीर से संबंधित; अंजीर: यहूदियों और एक ही चर्च से संबंधित अन्य जातियों का।
4789	συνκληρονόμα	1	एक संयुक्त वारिस, भागीदार	एक संयुक्त वारिस, भागीदार।
2192	ἔχομεν	1	मैं, पकड़, अधिकारी	मेरे पास है, पकड़, मेरे पास है।
3962	Πατέρα,	1	पिता, पिता, पूर्वज	पिता (स्वर्गीय) पिता, पूर्वज, बड़ी, वरिष्ठ।
4396	προφήταις	1	एक नबी, कवि	एक नबी, कवि; एक व्यक्ति ईश्वरीय सत्य expositing पर भेंट की।
3965	πατριὰ	1	एक परिवार, जनजाति	वंश, वंश; एक परिवार, जनजाति।
3772	οὐρανοῖς	1	आकाश, स्वर्ग	स्वर्ग, (क) दिखाई आकाश: वातावरण, आकाश, तारों से आकाश, (ख) आध्यात्मिक आकाश।
652	ἀποστόλοις	1	प्रेरित है, एक दूत, एक दूत, एक प्रतिनिधि	एक दूत, राजदूत, प्रतिनिधि, एक दूसरे के द्वारा कमीशन कुछ रास्ते में उसे प्रतिनिधित्व करने के लिए, विशेष रूप से एक आदमी यीशु मसीह खुद से बाहर भेजा सुसमाचार प्रचार करने के लिए; प्रेरित है।
1909	ἐπὶ	1	पर, करने के लिए, के खिलाफ, के आधार पर	पर, करने के लिए, के खिलाफ के आधार पर, पर।
601	ἀπεκαλύφθη	1	मैं उजागर प्रकाश में लाने के लिए, पता चलता है	मैं उजागर प्रकाश में लाने के लिए, प्रकट करते हैं।
1093	γῆς	1	पृथ्वी, मिट्टी, भूमि	पृथ्वी, मिट्टी, भूमि, क्षेत्र, देश, एक क्षेत्र के निवासियों।
5613	ὡς	1	के रूप में, के रूप में कैसे की तरह है, जबकि, इतना है कि	, के रूप में, के रूप में की तरह के बारे में, क्योंकि यह थे, के रूप में, के अनुसार कैसे, कब, जबकि, जैसे ही है, इसलिए कि।
3687	ὀνομάζεται,	1	मैं उल्लेख करने के लिए एक नाम दे	मैं एक नाम करने के लिए, का उल्लेख है, के नाम पर फोन दे।
5207	υἱοῖς	1	एक बेटा है, वंशज	एक बेटा है, वंशज।
3756	οὐκ	1	नहीं, नहीं	नहीं, नहीं।
2901	κραταιωθῆναι	1	मैं मजबूत बनाने, पुष्टि, मजबूत हो जाना	मैं मजबूत बनाने, पुष्टि; पारित: मैं मजबूत हो जाना, मजबूत हो जाते हैं।
2087	ἑτέραις	1	एक और, अलग	(क) दो की: एक और, एक दूसरे, (ख) अन्य, अलग, (ग) किसी के पड़ोसी।
4907	σύνεσίν	1	समझ	एक मन में एक साथ डाल, इसलिए: समझ, व्यावहारिक प्रभेद, बुद्धि।
2080	ἔσω	1	भीतर, अंदर	भीतर, अंदर, या तो बाकी के या गति के verbs के साथ; प्रस्तुत करने का: भीतर, के भीतर, अंदर।
314	ἀναγινώσκοντες	1	मैंने पढ़ा	मैंने पढ़ा है, फिर पता है, निश्चित रूप से जानते हैं, समझते हैं, विचार।
2730	κατοικῆσαι	1	मैं में रहता हूँ, में बसा है, वास	मैं में रहता हूँ, में बसा है, में (स्थायी) की स्थापना की महिला, निवास करते हैं।
2588	καρδίαις	1	दिल, आंतरिक जीवन, इरादा	लिट: दिल; मन, चरित्र, भीतर के स्व, विल, इरादा, केंद्र।
4492	ἐρριζωμένοι	1	मैं जड़, जड़ से ठीक	मैं रूट लेने के लिए कारण; मुलाकात: मैं संयंत्र, मजबूती से ठीक है, की स्थापना।
3641	ὀλίγῳ,	1	, छोटे संक्षिप्त, कुछ, जल्द ही	(क) विशेष रूप से Plur में: कुछ, (ख) गाओ में: छोटे; इसलिए, समय की: लघु, डिग्री की: प्रकाश, शांत, थोड़ा।
2311	τεθεμελιωμένοι,	1	मैंने पाया, नींव रखना	मैंने पाया, नींव रखना (जलाया और मुलाकात की।)।
4270	προέγραψα	1	मैं पहले के बारे में	(क) के बारे में मैं पहले (पूर्वकाल); मैं ऊपर (पहले से) के बारे में, (ख) मैं शब्दों में वर्णन करना या खुले तौर पर चित्रित करते हैं, (ग) मैं पहले से नामित।
2531	καθὼς	1	बस के रूप में के रूप में,	रीति के अनुसार में, जो डिग्री में है कि बस के रूप में के रूप में।
1840	ἐξισχύσητε	1	मैं के लिए ताकत है, पूरी तरह से सक्षम हूँ	मैं (एक मुश्किल काम) के लिए ताकत है, पूरी तरह से सक्षम हूँ।
2638	καταλαβέσθαι	1	मैं तंग पकड़ जब्त, आगे निकल, समझ	(क) मैं की तंग पकड़, गिरफ्तारी, पकड़, कब्जा, उचित, (ख) मैं आगे निकल, (ग) के मध्य जब्त। AOR: मैं माना जाता है, समझ।
602	ἀποκάλυψιν	1	एक अनावरण, उजागर, खुलासा	एक अनावरण, उजागर, खुलासा, रहस्योद्घाटन।
4862	σὺν	1	साथ में	साथ में।
3754	ὅτι	1	कि, के बाद से, क्योंकि	कि, के बाद से, क्योंकि; प्रत्यक्ष प्रवचन पेश हो सकता है।
4114	πλάτος	1	चौड़ाई	चौड़ाई।
3372	μῆκος	1	लंबाई	लंबाई।
5311	ὕψος	1	ऊंचाई, स्वर्ग	ऊंचाई, स्वर्ग; गरिमा, श्रेष्ठता।
899	βάθος,	1	गहराई, गहराई, एक गहरी	गहराई; गहरा पानी; मुलाकात: परिपूर्णता, विशालता; एक चरम डिग्री; profundities, गहरे रखी योजना है।
1097	γνῶναί	1	मैं जानना चाहता हूँ आते हैं, जानने के लिए, का एहसास	मैं ज्ञान में ले जा रहा हूँ, पता है, जानने के लिए आते हैं, AOR: मैं पता लगाया, का एहसास हुआ।
191	ἠκούσατε	1	मैंने सुना है, सुन	मैंने सुना है, सुनो, सुनने से समझ; पारित: सुना है, की सूचना दी।
1065	γε	1	कम से कम, वास्तव में, वास्तव में	एक enclitic, पर बल कण: कम से कम, वास्तव में, वास्तव में, लेकिन आम तौर पर बहुत सूक्ष्म अंग्रेजी में प्रतिनिधित्व करने के लिए।
1487	εἴ	1	अगर	अगर।
5037	τε	1	और दोनों	और दोनों।
5235	ὑπερβάλλουσαν	1	मैं पार	मैं पार, एक्सेल, से अधिक है, के पार।
1108	γνώσεως	1	ज्ञान, सिद्धांत, ज्ञान	ज्ञान, सिद्धांत, ज्ञान।
4137	πληρωθῆτε	1	मैं, पूरा भरने, पूरा	मैं भरने, पूरा, पूरा।
4138	πλήρωμα	1	परिपूर्णता, पूर्ति, पूरा	(क) एक भरने, परिपूर्णता; पूर्ण पूरक; आपूर्ति, पैच, पूरक, (ख) परिपूर्णता, भरने, पूरा, पूरा हो।
1198	δέσμιος	1	एक ही, एक कैदी	एक ही है, एक कैदी।
1161	δὲ	1	लेकिन, दूसरे हाथ पर, और	एक कमजोर िवरोधसूचक कण, आम तौर पर अपने खंड में दूसरे नंबर पर रखा गया है; लेकिन, दूसरी ओर, और पर।
3972	Παῦλος	1	पॉल	पॉल, Paulus।
2228	ἢ	1	या, की तुलना	या, की तुलना में।
1754	ἐνεργουμένην	1	मैं काम करते हैं, पूरा, ऑपरेटिव हूं	मैं काम करते हैं, ऑपरेटिव हूँ, काम पर हूँ, काम करने के लिए, को पूरा कर दिया हूँ; मध्य: मैं काम, प्रदर्शन गतिविधि।
281	ἀμήν.	1	वास्तव में, वास्तव में, आमीन, तो रहने दो	वास्तव में, वास्तव में, आमीन; पर वाक्य के अंत तक paraphrased जा सकता है: तो रहने दो।
